スロー&重い版,PLAYER_SPEED=0.06&GRAVITY=0.02
超高速・低重力テスト,PLAYER_SPEED=0.25&GRAVITY=0.004
NPC大量・高難易度,NPC_COUNT=30&SAVE_INTERVAL=10&GOLD_PER_KILL=5
トラップテスト,TRAP_DURATION=5000&TOTAL_TILES=15
デフォルト設定,PLAYER_SPEED=0.12&GRAVITY=0.0098
climb11-5,TRAP_MODE=reload&TRAP_MAX_COUNT=3&TRAP_RELOAD_INTERVAL=2000&TRAP_AUTO_DISAPPEAR_DURATION=1500
short-test,NPC_COUNT=3&TOTAL_TILES=10&PLAYER_SPEED=0.12&AUTO_MODE=1
shop-test,NPC_COUNT=3&TOTAL_TILES=10&PLAYER_SPEED=0.12&AUTO_MODE=1&SHOP_ITEMS=1:10:#8bc34a|2:20:#0288d1|3:30:#7b1fa2
スロー&重い版-speedrun,PLAYER_SPEED=0.06&GRAVITY=0.02&SPEEDRUN_MODE=1
超高速・低重力テスト-speedrun,PLAYER_SPEED=0.25&GRAVITY=0.004&SPEEDRUN_MODE=1
NPC大量・高難易度-speedrun,NPC_COUNT=30&SAVE_INTERVAL=10&GOLD_PER_KILL=5&SPEEDRUN_MODE=1
トラップテスト-speedrun,TRAP_DURATION=5000&TOTAL_TILES=15&SPEEDRUN_MODE=1
デフォルト設定-speedrun,PLAYER_SPEED=0.12&GRAVITY=0.0098&SPEEDRUN_MODE=1
climb11-5-speedrun,TRAP_MODE=reload&TRAP_MAX_COUNT=3&TRAP_RELOAD_INTERVAL=2000&TRAP_AUTO_DISAPPEAR_DURATION=1500&SPEEDRUN_MODE=1
short-test-speedrun,NPC_COUNT=3&TOTAL_TILES=10&PLAYER_SPEED=0.12&AUTO_MODE=1&SPEEDRUN_MODE=1
shop-test-speedrun,NPC_COUNT=3&TOTAL_TILES=10&PLAYER_SPEED=0.12&AUTO_MODE=1&SHOP_ITEMS=1:10:#8bc34a|2:20:#0288d1|3:30:#7b1fa2&SPEEDRUN_MODE=1
エンドレス・トラップ地獄,TRAP_MODE=reload&TRAP_MAX_COUNT=10&TRAP_RELOAD_INTERVAL=200&TRAP_AUTO_DISAPPEAR_DURATION=999999&TOTAL_TILES=40
ワンチャン・ゴールドラッシュ,TOTAL_TILES=10&NPC_COUNT=40&GOLD_PER_KILL=500&SAVE_INTERVAL=50
超高層サバイバル,TOTAL_TILES=200&SAVE_INTERVAL=999&PLAYER_SPEED=0.15&JUMP_FORCE=0.4
月面モード,GRAVITY=0.002&JUMP_FORCE=0.7&PLAYER_SPEED=0.18
富豪のショップテスト,GOLD_PER_KILL=999&NPC_COUNT=5&SHOP_ITEMS=1:100:#ffeb3b|2:500:#e91e63|3:999:#9c27b0
神速タイムアタック,SPEEDRUN_MODE=1&SPEEDRUN_LIMIT_SEC=30&SPEEDRUN_MULTIPLIER=150&PLAYER_SPEED=0.2&JUMP_FORCE=0.45
全自動爆走シアター,AUTO_MODE=1&SPEEDRUN_MODE=1&SPEEDRUN_MULTIPLIER=80&PLAYER_SPEED=0.15&TOTAL_TILES=50
